Vial	Depth	Age	Cribrionella_ohridana	Cyclotella_bifacialis	Cyclotella_cavitata	Cyclotella_fottii	Cyclotella_meneghiniana	Cyclotella_sollevata	Discostella_pseudostelligera	Lindavia_radiosa	Lindavia_thienemannii	Pantocsekiella_polymorpha	Pantocsekiella_costei	Pantocsekiella_delicatula	Pantocsekiella_minuscula	Pantocsekiella_multiocellata	Pantocsekiella_ocellata	Pantocsekiella_preocellata	Pantocsekiella_rossii
2321	372.4	-1068.527	0	0	12	0	0	222	0	0	0	0	0	0	0	0	0	0	0
2329	373.68	-1072.1445	0	0	12	0	0	146	0	0	0	0	0	0	0	0	0	0	0
2337	374.96	-1076.3195	0	0	1	0	0	181	0	0	0	0	0	0	0	0	0	0	0
2345	376.24	-1080.8045	0	0	0	0	0	198	0	0	0	0	0	0	1	0	0	0	0
2353	377.52	-1085.295	3	0	0	0	0	36	0	0	0	3	0	0	14	0	0	0	0
2361	378.8	-1089.8965	0	0	0	0	0	46	0	1	0	0	0	0	7	0	0	0	0
2369	380.08	-1094.6145	0	0	0	0	0	79	0	0	0	0	0	0	22	0	0	0	0
2377	381.36	-1098.842	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0
2385	382.64	-1102.768	126	0	0	0	0	42	0	0	0	0	0	0	0	0	2	0	0
2393	383.92	-1106.542	36	0	0	0	0	128	0	1	0	1	0	0	0	0	4	0	1
2401	385.2	-1110.486	40	0	0	0	0	33	0	1	0	0	0	0	0	0	0	0	0
2409	386.48	-1114.3355	13	0	0	0	0	213	0	0	0	0	0	0	0	0	0	0	2
2417	387.76	-1118.117	2	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0
2425	389.04	-1122.3205	11	0	0	0	0	242	0	0	0	0	0	0	0	0	0	0	0
2433	390.32	-1127.086	2	0	0	0	0	245	0	0	0	0	0	0	0	0	0	0	0
2441	391.6	-1132.1875	8	0	0	0	0	235	0	0	0	0	0	0	0	0	0	0	0
2449	392.88	-1138.18	0	0	0	0	0	218	0	0	0	0	0	0	0	0	3	0	0
2457	394.16	-1144.2195	16	0	0	0	0	163	0	0	0	0	0	0	0	0	10	0	0
2465	395.44	-1150.51	4	0	0	0	0	241	0	0	0	0	0	0	0	0	6	0	0
2473	396.72	-1153.625	2	0	0	0	0	169	0	0	0	0	5	0	0	0	31	0	0
2481	398	-1157.3615	1	0	0	0	0	182	0	0	0	0	0	0	0	0	34	0	0
2489	399.28	-1161.325	0	0	0	0	0	156	0	0	0	0	2	0	0	0	33	0	0
2497	400.56	-1164.708	2	0	0	0	0	163	0	0	0	0	3	0	0	0	26	0	0
2505	401.84	-1168.2445	1	0	0	0	0	176	0	0	0	0	1	0	1	0	20	0	0
2513	403.12	-1171.7995	7	0	0	0	0	230	0	0	0	0	0	0	0	0	12	0	0
2521	404.4	-1177.962	2	0	0	0	0	173	0	0	0	0	0	0	0	0	7	0	0
2529	405.68	-1184.3185	1	0	0	0	0	135	0	0	0	0	0	0	0	0	7	0	0
2537	406.96	-1192.7185	16	0	0	0	0	65	0	0	0	0	0	0	3	0	0	0	0
2541	407.6	-1196.6695	3	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0
2545	408.24	-1200.454	8	0	0	0	0	113	0	0	0	0	0	17	6	0	0	0	0
2549	408.88	-1204.659	9	0	0	0	0	124	0	0	0	0	0	3	2	0	0	0	0
2553	409.52	-1209.053	5	0	0	0	0	70	0	0	0	0	0	0	5	0	0	0	0
2557	410.16	-1212.0915	6	0	0	0	0	76	0	0	0	0	0	3	0	0	0	0	0
2561	410.8	-1214.566	0	0	0	0	0	141	0	0	0	0	0	15	8	0	0	0	0
2565	411.44	-1217.0035	5	0	0	0	0	91	0	0	0	0	0	1	0	0	0	0	0
2569	412.08	-1219.4235	0	0	0	0	0	52	0	0	0	0	0	0	11	0	0	0	0
2573	412.72	-1221.8675	1	0	0	0	0	14	0	0	0	0	0	81	0	0	0	0	0
2577	413.36	-1224.3405	0	0	0	0	0	6	0	0	0	0	0	198	3	0	0	0	0
2581	414	-1226.6935	0	0	0	0	0	0	0	0	0	0	0	245	0	0	0	0	0
2585	414.64	-1229.0315	0	0	0	0	0	0	0	0	0	0	0	252	1	0	0	0	0
2589	415.28	-1231.0585	0	0	0	0	0	0	0	0	0	0	0	265	0	0	0	0	0
2593	415.91	-1232.9445	0	0	0	0	0	0	0	0	0	0	0	229	0	0	0	0	0
2597	416.56	-1234.718	0	0	0	0	0	0	0	1	0	0	0	259	0	0	0	0	0
2601	417.2	-1236.6165	0	0	0	0	0	0	0	2	0	0	0	209	0	0	0	0	0
2605	417.84	-1238.5045	0	0	0	0	0	0	0	1	0	0	0	206	0	0	0	0	0
2609	418.48	-1240.383	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0
2613	419.12	-1242.3075	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0
2617	419.76	-1244.2985	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0
2621	420.4	-1246.1385	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0
2625	421.04	-1247.8655	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0
2629	421.68	-1250.024	2	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0
2633	422.32	-1252.819	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0
2637	422.96	-1255.8925	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0
2641	423.6	-1259.517	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
2645	424.24	-1262.943	0	0	0	0	0	7	0	1	0	0	0	105	6	1	0	0	0
2649	424.88	-1266.097	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0	0	0
2653	425.52	-1270.5795	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
2657	426.16	-1277.8795	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0
2661	426.8	-1284.194	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0
2665	427.44	-1288.078	0	0	0	0	0	0	0	0	0	0	0	195	0	0	0	0	0
2669	428.08	-1291.535	0	0	0	0	0	0	0	0	0	0	0	266	0	0	0	0	0
2673	428.72	-1293.801	0	0	0	0	0	0	3	0	0	0	0	146	5	0	0	0	0
2677	429.36	-1296.0825	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0
2681	430	-1298.4775	0	0	0	0	0	0	7	0	0	0	0	31	3	0	0	0	0
2685	430.63	-1300.9065	0	0	0	0	0	0	1	0	0	0	5	134	26	0	0	0	0
2689	431.28	-1303.6235	0	0	0	0	0	0	0	1	0	0	0	167	0	0	0	0	0
2693	431.92	-1306.181	0	0	0	0	0	0	0	2	0	0	4	130	3	0	0	0	0
2697	432.56	-1308.2825	0	0	0	0	0	0	0	0	0	0	0	192	0	0	0	0	0
2701	433.2	-1310.3805	0	0	0	0	0	0	0	0	0	0	0	220	0	0	0	0	0
2705	433.84	-1312.596	0	0	0	0	0	0	0	0	0	0	0	201	0	0	0	0	0
2709	434.48	-1314.809	0	0	0	0	0	0	0	0	0	0	0	221	0	0	0	0	0
2713	435.12	-1317.112	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0
2717	435.76	-1319.398	0	0	0	0	0	5	0	0	0	0	0	77	0	0	0	0	0
2721	436.4	-1321.542	0	0	0	0	0	1	0	0	0	0	0	78	0	0	0	0	0
2725	437.04	-1323.923	0	0	28	2	0	16	0	0	0	0	0	67	0	0	0	3	0
2729	437.73	-1332.2015	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0
2733	438.37	-1339.461	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0
2737	438.96	-1341.943	0	0	1	0	0	0	0	0	0	0	0	15	0	0	0	0	0
2741	439.6	-1344.672	0	0	0	0	0	0	1	0	0	0	1	21	0	67	0	0	0
2745	440.24	-1346.4535	0	0	1	0	0	0	0	0	0	0	0	0	0	57	0	0	0
2749	440.88	-1348.2045	5	0	0	0	0	0	1	0	0	0	0	26	5	106	16	0	0
2753	441.52	-1349.9235	0	0	1	0	0	0	0	0	0	0	0	19	0	192	0	0	0
2757	442.16	-1351.6455	0	0	0	0	0	0	0	0	0	0	0	1	0	250	1	0	0
2761	442.8	-1353.246	0	0	0	0	0	0	0	0	0	0	0	8	0	199	0	0	0
2765	443.44	-1354.813	0	0	0	0	0	0	0	0	0	0	0	8	0	180	0	0	0
2769	444.08	-1356.5265	0	0	0	0	0	0	0	0	0	0	0	3	0	218	0	0	0
2773	444.72	-1358.275	0	0	1	0	0	0	0	0	0	0	0	1	0	191	0	0	0
2777	445.36	-1359.932	0	0	0	0	0	0	0	0	0	0	0	2	0	166	0	0	0
2781	446	-1361.605	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0
2785	446.65	-1363.183	0	0	0	0	0	0	0	0	0	0	0	2	0	106	0	0	0
2789	447.28	-1364.7320087595	0	0	5	0	0	2	0	0	0	0	0	0	0	0	0	1	0
